ADMINLVL	AGRIC	BUSH_FOOD	CCODE2K4	DCODE_2K4	DRY	FID	FOOD_SEC	HEALTH	HEA_FUNCT	HHLD	IDP	NAME_WS	NAME_WS_1	OID_	POP	P_CODE	P_CODE_1	QC_GEO_WS	RETURN_	SCHOOL	SCH_FUNCT	SIZE	TRAV_TIME	WET	X_COORD	Y_COORD	OBJECTID	geometry	country_code	sdr_id	sdr_name	sdr_level
05	" "	" "	30	3004	Y	339	" "	Y	Y	700.00	S	"Twe Farm"	"Twe Farm"	294	3500.00	LB3004009	LB3004009	4	S	Y	Y	" "	0.00	Y	-10.78	6.39	384	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.78285,6.39052]}"""	LR	0		
06	" "	" "	30	3004	Y	340	" "	Y	Y	300.00	S	"Battery Factory"	"Battery Factory"	264	1500.00	LB3004010	LB3004010	4	S	Y	Y	" "	0.00	Y	-10.78	6.34	385	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.77901,6.3410200000001]}"""	LR	0		
06	" "	" "	30	3004	Y	341	" "	Y	Y	55.00	S	"Flahn Town"	"Flahn Town"	275	275.00	LB3004011	LB3004011	4	S	Y	Y	" "	0.00	Y	-10.77	6.34	386	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.77198,6.34166]}"""	LR	77026	"Flahn Town"	PPL
05	" "	" "	30	3004	Y	342	" "	Y	Y	900.00	S	"Chocalate City"	"Chocalate City"	269	4500.00	LB3004015	LB3004015	4	S	Y	Y	" "	0.00	Y	-10.75	6.33	387	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.74671,6.3311]}"""	LR	0		
06	" "	" "	30	3004	Y	343	" "	Y	Y	75.00	S	"J.J.Y. Community"	"J.J.Y. Community"	277	375.00	LB3004016	LB3004016	4	S	Y	Y	" "	0.00	Y	-10.74	6.33	388	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.74311,6.3349400000001]}"""	LR	0		
06	" "	" "	30	3004	Y	344	" "	Y	Y	125.00	S	Supermarket	Supermarket	292	625.00	LB3004017	LB3004017	4	S	Y	Y	" "	0.00	Y	-10.74	6.33	389	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.74223,6.32822]}"""	LR	0		
05	" "	" "	30	3004	Y	345	" "	Y	Y	500.00	S	"Dry Rice Market community"	"Dry Rice Market community"	270	2500.00	LB3004021	LB3004021	4	S	Y	Y	" "	0.00	Y	-10.73	6.35	390	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.73359,6.34718]}"""	LR	0		
06	" "	" "	30	3004	Y	346	" "	Y	N	50.00	S	"Lower Johnsonville(Dawn Town)"	"Lower Johnsonville(Dawn Tow"	282	250.00	LB3004023	LB3004023	4	S	N	N	" "	0.00	Y	-10.70	6.35	391	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.70328,6.3524500000001]}"""	LR	0		
06	" "	" "	30	3004	Y	347	" "	Y	Y	40.00	S	"Central Johnsonville"	"Central Johnsonville"	268	200.00	LB3004024	LB3004024	4	S	Y	Y	" "	0.00	Y	-10.69	6.36	392	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.69305,6.35965]}"""	LR	12593	"Central Johnsonville"	ADM1
06	" "	" "	30	3004	Y	348	" "	Y	Y	100.00	S	"Kendesa community"	"Kendesa community"	280	500.00	LB3004036	LB3004036	4	S	Y	Y	" "	0.00	Y	-10.68	6.23	393	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.67816,6.2343500000001]}"""	LR	0		
06	" "	" "	30	3004	Y	349	" "	Y	Y	300.00	S	"Parker Paint"	"Parker Paint"	286	1500.00	LB3004037	LB3004037	4	S	Y	Y	" "	0.00	Y	-10.69	6.29	394	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.68816,6.2917300000001]}"""	LR	0		
06	" "	" "	30	3006	Y	350	" "	Y	Y	50.00	S	Kamalla	Kamalla	297	250.00	LA3006009	LA3006009	4	S	Y	Y	" "	0.00	Y	-10.79	6.40	395	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.78879,6.4032800000001]}"""	LR	0		
05	" "	" "	30	3006	Y	351	" "	Y	Y	800.00	S	"Mango Town"	"Mango Town"	300	4000.00	LA3006011	LA3006011	4	P	Y	Y	" "	0.00	Y	-10.78	6.42	396	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.77879,6.4163500000001]}"""	LR	0		
07	" "	" "	30	3006	Y	352	" "	Y	Y	8.00	A	"Swannah Town"	"Swannah Town"	302	40.00	LA3006021	LA3006021	4	A	Y	Y	" "	0.00	Y	-10.86	6.47	397	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.85925,6.4651200000001]}"""	LR	0		
07	" "	" "	30	3008	Y	353	" "	Y	Y	7.00	A	"Killings Worth Mission"	"Killings Worth Mission"	304	35.00	LE3008012	LE3008012	4	A	Y	Y	" "	0.00	Y	-10.53	6.60	398	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.52796,6.6018100000001]}"""	LR	0		
