pos	adm0_id	adm0_name	adm1_id	adm1_name	mkt_id	mkt_name	cm_id	cm_name	cur_id	cur_name	pt_id	pt_name	um_id	um_name	month_year	mp_month	mp_year	mp_price	mp_commoditysource	sdr_id	sdr_name	sdr_level	ndate
56	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41883	9	2014	5500.0	WFP	1	Boke	ADM1	2014-09-01
57	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41852	8	2014	5500.0	WFP	1	Boke	ADM1	2014-08-01
58	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41821	7	2014	6000.0	WFP	1	Boke	ADM1	2014-07-01
59	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41791	6	2014	6000.0	WFP	1	Boke	ADM1	2014-06-01
60	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41760	5	2014	5500.0	WFP	1	Boke	ADM1	2014-05-01
61	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41730	4	2014	5500.0	WFP	1	Boke	ADM1	2014-04-01
62	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41699	3	2014	5000.0	WFP	1	Boke	ADM1	2014-03-01
63	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41671	2	2014	5500.0	Government	1	Boke	ADM1	2014-02-01
64	106	Guinea	40700	Boke	1639	Boke	71	Rice (Local)	54	GNF	15	Retail	5	KG	41640	1	2014	5000.0	WFP	1	Boke	ADM1	2014-01-01
65	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41852	8	2014	1500.0	WFP	1	Boke	ADM1	2014-08-01
66	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41821	7	2014	1500.0	WFP	1	Boke	ADM1	2014-07-01
67	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41791	6	2014	1500.0	WFP	1	Boke	ADM1	2014-06-01
68	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41760	5	2014	1500.0	WFP	1	Boke	ADM1	2014-05-01
69	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41730	4	2014	1500.0	WFP	1	Boke	ADM1	2014-04-01
70	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41699	3	2014	2500.0	WFP	1	Boke	ADM1	2014-03-01
71	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41671	2	2014	1500.0	WFP	1	Boke	ADM1	2014-02-01
72	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	5	KG	41640	1	2014	1500.0	WFP	1	Boke	ADM1	2014-01-01
73	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	33	Unit	41913	10	2014	2500.0	WFP	1	Boke	ADM1	2014-10-01
74	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	33	Unit	41883	9	2014	2000.0	WFP	1	Boke	ADM1	2014-09-01
75	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41913	10	2014	6500.0	WFP	1	Boke	ADM1	2014-10-01
76	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41883	9	2014	6500.0	WFP	1	Boke	ADM1	2014-09-01
77	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41852	8	2014	6500.0	WFP	1	Boke	ADM1	2014-08-01
78	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41821	7	2014	6500.0	WFP	1	Boke	ADM1	2014-07-01
79	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41791	6	2014	6500.0	WFP	1	Boke	ADM1	2014-06-01
80	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41760	5	2014	6500.0	WFP	1	Boke	ADM1	2014-05-01
81	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41730	4	2014	6500.0	WFP	1	Boke	ADM1	2014-04-01
82	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41699	3	2014	6500.0	WFP	1	Boke	ADM1	2014-03-01
83	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41671	2	2014	6500.0	WFP	1	Boke	ADM1	2014-02-01
84	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41640	1	2014	6500.0	WFP	1	Boke	ADM1	2014-01-01
85	106	Guinea	40700	Boke	1639	Boke	243	Tomatoes (Greenhouse)	54	GNF	15	Retail	5	KG	41640	1	2014	8000.0	WFP	1	Boke	ADM1	2014-01-01
86	106	Guinea	40700	Boke	1574	Koundara	50	Beans	54	GNF	15	Retail	5	KG	41609	12	2013	6500.0	WFP	12	Koundara	ADM2	2013-12-01
87	106	Guinea	40700	Boke	1574	Koundara	50	Beans	54	GNF	15	Retail	5	KG	41579	11	2013	6500.0	WFP	12	Koundara	ADM2	2013-11-01
88	106	Guinea	40700	Boke	1574	Koundara	55	Bread	54	GNF	15	Retail	33	Unit	41609	12	2013	4000.0	WFP	12	Koundara	ADM2	2013-12-01
89	106	Guinea	40700	Boke	1574	Koundara	55	Bread	54	GNF	15	Retail	33	Unit	41579	11	2013	4000.0	WFP	12	Koundara	ADM2	2013-11-01
90	106	Guinea	40700	Boke	1574	Koundara	55	Bread	54	GNF	15	Retail	33	Unit	41518	9	2013	4000.0	WFP	12	Koundara	ADM2	2013-09-01
91	106	Guinea	40700	Boke	1574	Koundara	55	Bread	54	GNF	15	Retail	33	Unit	41487	8	2013	4000.0	WFP	12	Koundara	ADM2	2013-08-01
92	106	Guinea	40700	Boke	1574	Koundara	109	Meat	54	GNF	15	Retail	5	KG	41609	12	2013	20000.0	WFP	12	Koundara	ADM2	2013-12-01
93	106	Guinea	40700	Boke	1574	Koundara	109	Meat	54	GNF	15	Retail	5	KG	41579	11	2013	20000.0	WFP	12	Koundara	ADM2	2013-11-01
94	106	Guinea	40700	Boke	1574	Koundara	109	Meat	54	GNF	15	Retail	5	KG	41518	9	2013	2000.0	WFP	12	Koundara	ADM2	2013-09-01
95	106	Guinea	40700	Boke	1574	Koundara	109	Meat	54	GNF	15	Retail	5	KG	41487	8	2013	20000.0	WFP	12	Koundara	ADM2	2013-08-01
96	106	Guinea	40700	Boke	1574	Koundara	62	Oil (Palm)	54	GNF	15	Retail	15	L	41609	12	2013	12000.0	WFP	12	Koundara	ADM2	2013-12-01
97	106	Guinea	40700	Boke	1574	Koundara	62	Oil (Palm)	54	GNF	15	Retail	15	L	41579	11	2013	12000.0	WFP	12	Koundara	ADM2	2013-11-01
98	106	Guinea	40700	Boke	1574	Koundara	62	Oil (Palm)	54	GNF	15	Retail	15	L	41518	9	2013	11000.0	WFP	12	Koundara	ADM2	2013-09-01
99	106	Guinea	40700	Boke	1574	Koundara	62	Oil (Palm)	54	GNF	15	Retail	15	L	41487	8	2013	9500.0	WFP	12	Koundara	ADM2	2013-08-01
100	106	Guinea	40700	Boke	1574	Koundara	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41609	12	2013	3900.0	WFP	12	Koundara	ADM2	2013-12-01
101	106	Guinea	40700	Boke	1574	Koundara	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41579	11	2013	4000.0	WFP	12	Koundara	ADM2	2013-11-01
102	106	Guinea	40700	Boke	1574	Koundara	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41518	9	2013	5500.0	WFP	12	Koundara	ADM2	2013-09-01
103	106	Guinea	40700	Boke	1574	Koundara	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41487	8	2013	5500.0	WFP	12	Koundara	ADM2	2013-08-01
104	106	Guinea	40700	Boke	1574	Koundara	71	Rice (Local)	54	GNF	15	Retail	5	KG	41699	3	2014	5000.0	WFP	12	Koundara	ADM2	2014-03-01
105	106	Guinea	40700	Boke	1574	Koundara	71	Rice (Local)	54	GNF	15	Retail	5	KG	41609	12	2013	4600.0	WFP	12	Koundara	ADM2	2013-12-01
106	106	Guinea	40700	Boke	1574	Koundara	71	Rice (Local)	54	GNF	15	Retail	5	KG	41579	11	2013	5000.0	WFP	12	Koundara	ADM2	2013-11-01
107	106	Guinea	40700	Boke	1574	Koundara	71	Rice (Local)	54	GNF	15	Retail	5	KG	41518	9	2013	6000.0	WFP	12	Koundara	ADM2	2013-09-01
108	106	Guinea	40700	Boke	1574	Koundara	71	Rice (Local)	54	GNF	15	Retail	5	KG	41487	8	2013	6500.0	WFP	12	Koundara	ADM2	2013-08-01
109	106	Guinea	40700	Boke	1574	Koundara	185	Salt	54	GNF	15	Retail	5	KG	41609	12	2013	1500.0	WFP	12	Koundara	ADM2	2013-12-01
110	106	Guinea	40700	Boke	1574	Koundara	185	Salt	54	GNF	15	Retail	5	KG	41579	11	2013	2000.0	WFP	12	Koundara	ADM2	2013-11-01
111	106	Guinea	40700	Boke	1574	Koundara	185	Salt	54	GNF	15	Retail	5	KG	41518	9	2013	2000.0	WFP	12	Koundara	ADM2	2013-09-01
112	106	Guinea	40700	Boke	1574	Koundara	185	Salt	54	GNF	15	Retail	5	KG	41487	8	2013	2000.0	WFP	12	Koundara	ADM2	2013-08-01
113	106	Guinea	40700	Boke	1574	Koundara	97	Sugar	54	GNF	15	Retail	5	KG	41609	12	2013	7000.0	WFP	12	Koundara	ADM2	2013-12-01
114	106	Guinea	40700	Boke	1574	Koundara	97	Sugar	54	GNF	15	Retail	5	KG	41579	11	2013	7000.0	WFP	12	Koundara	ADM2	2013-11-01
115	106	Guinea	40700	Boke	1574	Koundara	97	Sugar	54	GNF	15	Retail	5	KG	41518	9	2013	7000.0	WFP	12	Koundara	ADM2	2013-09-01
116	106	Guinea	40700	Boke	1574	Koundara	97	Sugar	54	GNF	15	Retail	5	KG	41487	8	2013	7000.0	WFP	12	Koundara	ADM2	2013-08-01
117	106	Guinea	40700	Boke	1574	Koundara	243	Tomatoes (Greenhouse)	54	GNF	15	Retail	33	Unit	41609	12	2013	5000.0	WFP	12	Koundara	ADM2	2013-12-01
118	106	Guinea	40700	Boke	1574	Koundara	243	Tomatoes (Greenhouse)	54	GNF	15	Retail	33	Unit	41518	9	2013	5000.0	WFP	12	Koundara	ADM2	2013-09-01
119	106	Guinea	40700	Boke	1574	Koundara	243	Tomatoes (Greenhouse)	54	GNF	15	Retail	33	Unit	41487	8	2013	5000.0	WFP	12	Koundara	ADM2	2013-08-01
120	106	Guinea	40701	Conakry	356	Concasseur	55	Bread	54	GNF	15	Retail	33	Unit	40969	3	2012	2500.0	WFP	0			2012-03-01
121	106	Guinea	40701	Conakry	356	Concasseur	63	Gari	54	GNF	15	Retail	5	KG	40969	3	2012	6000.0	WFP	0			2012-03-01
122	106	Guinea	40701	Conakry	356	Concasseur	109	Meat	54	GNF	15	Retail	5	KG	40969	3	2012	25000.0	WFP	0			2012-03-01
123	106	Guinea	40701	Conakry	356	Concasseur	62	Oil (Palm)	54	GNF	15	Retail	15	L	40969	3	2012	6500.0	WFP	0			2012-03-01
124	106	Guinea	40701	Conakry	356	Concasseur	62	Oil (Palm)	54	GNF	15	Retail	15	L	40544	1	2011	14000.0	WFP	0			2011-01-01
125	106	Guinea	40701	Conakry	356	Concasseur	96	Oil (Vegetable)	54	GNF	15	Retail	15	L	40544	1	2011	13000.0	WFP	0			2011-01-01
126	106	Guinea	40701	Conakry	356	Concasseur	64	Rice (Imported)	54	GNF	15	Retail	5	KG	40969	3	2012	5000.0	WFP	0			2012-03-01
127	106	Guinea	40701	Conakry	356	Concasseur	71	Rice (Local)	54	GNF	15	Retail	5	KG	40969	3	2012	6250.0	WFP	0			2012-03-01
128	106	Guinea	40701	Conakry	356	Concasseur	71	Rice (Local)	54	GNF	15	Retail	5	KG	40544	1	2011	6500.0	WFP	0			2011-01-01
