pos	adm0_id	adm0_name	adm1_id	adm1_name	mkt_id	mkt_name	cm_id	cm_name	cur_id	cur_name	pt_id	pt_name	um_id	um_name	month_year	mp_month	mp_year	mp_price	mp_commoditysource	sdr_id	sdr_name	sdr_level
38	106	Guinea	40700	Boke	1639	Boke	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41730	4	2014	8000	WFP	1	Boke	ADM1
39	106	Guinea	40700	Boke	1639	Boke	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41699	3	2014	10000	WFP	1	Boke	ADM1
40	106	Guinea	40700	Boke	1639	Boke	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41671	2	2014	9000	Government	1	Boke	ADM1
41	106	Guinea	40700	Boke	1639	Boke	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41640	1	2014	9000	WFP	1	Boke	ADM1
42	106	Guinea	40700	Boke	1639	Boke	83	Potatoes	54	GNF	15	Retail	5	KG	41730	4	2014	7000	WFP	1	Boke	ADM1
43	106	Guinea	40700	Boke	1639	Boke	83	Potatoes	54	GNF	15	Retail	5	KG	41699	3	2014	8500	WFP	1	Boke	ADM1
44	106	Guinea	40700	Boke	1639	Boke	83	Potatoes	54	GNF	15	Retail	5	KG	41671	2	2014	9000	Government	1	Boke	ADM1
45	106	Guinea	40700	Boke	1639	Boke	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41913	10	2014	4000	WFP	1	Boke	ADM1
46	106	Guinea	40700	Boke	1639	Boke	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41883	9	2014	4000	WFP	1	Boke	ADM1
47	106	Guinea	40700	Boke	1639	Boke	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41852	8	2014	4000	WFP	1	Boke	ADM1
48	106	Guinea	40700	Boke	1639	Boke	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41821	7	2014	4500	WFP	1	Boke	ADM1
49	106	Guinea	40700	Boke	1639	Boke	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41791	6	2014	4500	WFP	1	Boke	ADM1
