adm0_name	cm_name		mp_price
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		2000
Guinea	"Oil (Palm)"		8000
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		9500
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		9000
Guinea	"Oil (Palm)"		11000
Guinea	"Oil (Palm)"		8000
Guinea	"Oil (Palm)"		6500
Guinea	"Oil (Palm)"		5000
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		7500
Guinea	"Oil (Palm)"		6900
Guinea	"Oil (Palm)"		6500
Guinea	"Oil (Palm)"		7000
Guinea	"Oil (Palm)"		6000
Guinea	"Oil (Palm)"		6188
Guinea	"Oil (Palm)"		6375
Guinea	"Oil (Palm)"		7000
Guinea	Onion		8000
Guinea	Onion		8000
Guinea	Peanut		9000
Guinea	Potatoes		10000
Guinea	Potatoes		9000
Guinea	Potatoes		7000
Guinea	Potatoes		12000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5500
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		6000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5500
Guinea	"Rice (Imported)"		5500
Guinea	"Rice (Imported)"		5500
Guinea	"Rice (Imported)"		5500
Guinea	"Rice (Imported)"		5500
Guinea	"Rice (Imported)"		5200
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		4500
Guinea	"Rice (Imported)"		5000
Guinea	"Rice (Imported)"		8000
Guinea	"Rice (Imported)"		5500
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		5500
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6500
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		5800
Guinea	"Rice (Local)"		5500
Guinea	"Rice (Local)"		5500
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		7500
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		7000
Guinea	"Rice (Local)"		6000
Guinea	"Rice (Local)"		4750
Guinea	"Rice (Local)"		4333
Guinea	"Rice (Local)"		4500
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		4500
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		4550
Guinea	"Rice (Local)"		4800
Guinea	"Rice (Local)"		4350
Guinea	"Rice (Local)"		4100
Guinea	"Rice (Local)"		3850
Guinea	"Rice (Local)"		3875
Guinea	"Rice (Local)"		3482.4
Guinea	"Rice (Local)"		3679
Guinea	"Rice (Local)"		3732.2
Guinea	"Rice (Local)"		4605.4
Guinea	"Rice (Local)"		4535.8
Guinea	"Rice (Local)"		4406.2
Guinea	"Rice (Local)"		4152
Guinea	"Rice (Local)"		4557.8
Guinea	"Rice (Local)"		4593.75
Guinea	"Rice (Local)"		3888.4
Guinea	"Rice (Local)"		4043.6667
Guinea	"Rice (Local)"		4082
Guinea	"Rice (Local)"		4554.5
Guinea	"Rice (Local)"		4172.8
Guinea	"Rice (Local)"		4359
Guinea	"Rice (Local)"		5025
Guinea	"Rice (Local)"		4913
Guinea	"Rice (Local)"		4671.75
Guinea	"Rice (Local)"		4468
Guinea	"Rice (Local)"		4593.75
Guinea	"Rice (Local)"		3735.8
Guinea	"Rice (Local)"		3269.5
Guinea	"Rice (Local)"		2914
Guinea	"Rice (Local)"		2687.5
Guinea	Salt		2500
Guinea	Salt		2000
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		3500
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		2000
Guinea	Salt		2000
Guinea	Salt		2000
Guinea	Salt		2200
Guinea	Salt		2500
